date,governorate,n_infected,n_recovered,n_dead
"04:00, 24 April 2020",Nabeul,12,TBA,1
"04:00, 24 April 2020",Kairouan,6,TBA,0
"04:00, 24 April 2020",Le Kef,5,TBA,1
"04:00, 24 April 2020",Sidi Bouzid,5,TBA,1
"04:00, 24 April 2020",Kasserine,5,TBA,0
"04:00, 24 April 2020",Tozeur,5,TBA,0
"04:00, 24 April 2020",Béja,3,TBA,0
"04:00, 24 April 2020",Zaghouan,3,TBA,0
"04:00, 24 April 2020",Jendouba,1,TBA,0
"04:00, 24 April 2020",Siliana,1,TBA,0
"04:19, 24 April 2020",Tunis,199,TBA,6
"04:19, 24 April 2020",Ariana,94,TBA,5
"04:19, 24 April 2020",Ben Arous,91,TBA,3
"04:19, 24 April 2020",Médenine,86,TBA,3
"04:19, 24 April 2020",Kébili,85,TBA,0
"04:19, 24 April 2020",Sousse,78,TBA,5
"04:19, 24 April 2020",Manouba,39,TBA,5
"04:19, 24 April 2020",Gafsa,38,TBA,0
"04:19, 24 April 2020",Monastir,37,TBA,0
"04:19, 24 April 2020",Sfax,36,TBA,5
"04:01, 24 April 2020",Tunis,199,TBA,6
"04:19, 24 April 2020",Tataouine,32,TBA,1
"04:19, 24 April 2020",Gabès,22,TBA,0
"04:01, 24 April 2020",Ariana,94,TBA,5
"04:01, 24 April 2020",Ben Arous,91,TBA,3
"04:01, 24 April 2020",Médenine,86,TBA,3
"04:19, 24 April 2020",Bizerte,19,TBA,1
"04:19, 24 April 2020",Mahdia,15,TBA,1
"04:19, 24 April 2020",Nabeul,12,TBA,1
"04:01, 24 April 2020",Kébili,85,TBA,0
"04:01, 24 April 2020",Sousse,78,TBA,5
"04:01, 24 April 2020",Manouba,39,TBA,5
"04:19, 24 April 2020",Kairouan,6,TBA,0
"04:19, 24 April 2020",Le Kef,5,TBA,1
"04:01, 24 April 2020",Gafsa,38,TBA,0
"04:01, 24 April 2020",Monastir,37,TBA,0
"04:01, 24 April 2020",Sfax,36,TBA,5
"04:19, 24 April 2020",Sidi Bouzid,5,TBA,1
"04:19, 24 April 2020",Kasserine,5,TBA,0
"04:19, 24 April 2020",Tozeur,5,TBA,0
"06:08, 25 April 2020",Tunis,199,TBA,6
"04:01, 24 April 2020",Tataouine,32,TBA,1
"04:01, 24 April 2020",Gabès,22,TBA,0
"04:19, 24 April 2020",Béja,3,TBA,0
"04:19, 24 April 2020",Zaghouan,3,TBA,0
"06:08, 25 April 2020",Ariana,94,TBA,5
"06:08, 25 April 2020",Ben Arous,91,TBA,3
"06:08, 25 April 2020",Médenine,86,TBA,3
"04:01, 24 April 2020",Bizerte,19,TBA,1
"04:01, 24 April 2020",Mahdia,15,TBA,1
"04:01, 24 April 2020",Nabeul,12,TBA,1
"21:40, 24 April 2020",Tunis,199,TBA,6
"04:19, 24 April 2020",Jendouba,1,TBA,0
"04:19, 24 April 2020",Siliana,1,TBA,0
"06:08, 25 April 2020",Kébili,86,TBA,0
"06:08, 25 April 2020",Sousse,81,TBA,5
"04:01, 24 April 2020",Kairouan,6,TBA,0
"04:01, 24 April 2020",Le Kef,5,TBA,1
"04:01, 24 April 2020",Sidi Bouzid,5,TBA,1
"21:40, 24 April 2020",Ariana,94,TBA,5
"21:40, 24 April 2020",Ben Arous,91,TBA,3
"06:08, 25 April 2020",Manouba,39,TBA,5
"06:08, 25 April 2020",Gafsa,38,TBA,0
"04:01, 24 April 2020",Kasserine,5,TBA,0
"04:01, 24 April 2020",Tozeur,5,TBA,0
"06:27, 25 April 2020",Tunis,199,TBA,6
"21:40, 24 April 2020",Médenine,86,TBA,3
"21:40, 24 April 2020",Kébili,85,TBA,0
"06:08, 25 April 2020",Monastir,37,TBA,0
"06:08, 25 April 2020",Sfax,36,TBA,5
"04:01, 24 April 2020",Béja,3,TBA,0
"04:01, 24 April 2020",Zaghouan,3,TBA,0
"04:01, 24 April 2020",Jendouba,1,TBA,0
"06:27, 25 April 2020",Ariana,94,TBA,5
"06:27, 25 April 2020",Ben Arous,91,TBA,3
"06:27, 25 April 2020",Médenine,86,TBA,3
"21:40, 24 April 2020",Sousse,78,TBA,5
"21:40, 24 April 2020",Manouba,39,TBA,5
"21:40, 24 April 2020",Gafsa,38,TBA,0
"06:08, 25 April 2020",Tataouine,32,TBA,1
"06:08, 25 April 2020",Gabès,22,TBA,0
"06:08, 25 April 2020",Bizerte,19,TBA,1
"04:01, 24 April 2020",Siliana,1,TBA,0
"06:27, 25 April 2020",Kébili,86,TBA,0
"06:27, 25 April 2020",Sousse,81,TBA,5
"21:40, 24 April 2020",Monastir,37,TBA,0
"21:40, 24 April 2020",Sfax,36,TBA,5
"06:08, 25 April 2020",Mahdia,15,TBA,1
"06:08, 25 April 2020",Nabeul,12,TBA,1
"06:08, 25 April 2020",Kairouan,6,TBA,0
"06:27, 25 April 2020",Manouba,39,TBA,5
"06:27, 25 April 2020",Gafsa,38,TBA,0
"06:27, 25 April 2020",Monastir,37,TBA,0
"20:44, 25 April 2020",Tunis,199,TBA,6
"21:40, 24 April 2020",Tataouine,32,TBA,1
"21:40, 24 April 2020",Gabès,22,TBA,0
"06:08, 25 April 2020",Kasserine,6,TBA,0
"06:08, 25 April 2020",Le Kef,5,TBA,1
"06:27, 25 April 2020",Sfax,36,TBA,5
"06:27, 25 April 2020",Tataouine,32,TBA,1
"20:44, 25 April 2020",Ariana,94,TBA,5
"20:44, 25 April 2020",Ben Arous,91,TBA,3
"21:40, 24 April 2020",Bizerte,19,TBA,1
"21:40, 24 April 2020",Mahdia,15,TBA,1
"21:40, 24 April 2020",Nabeul,12,TBA,1
"06:08, 25 April 2020",Sidi Bouzid,5,TBA,1
"06:08, 25 April 2020",Tozeur,5,TBA,0
"06:08, 25 April 2020",Béja,3,TBA,0
"06:27, 25 April 2020",Gabès,22,TBA,0
"06:27, 25 April 2020",Bizerte,19,TBA,1
"06:27, 25 April 2020",Mahdia,15,TBA,1
"20:44, 25 April 2020",Médenine,86,TBA,3
"20:44, 25 April 2020",Kébili,86,TBA,0
"20:44, 25 April 2020",Sousse,81,TBA,5
"21:40, 24 April 2020",Kairouan,6,TBA,0
"21:40, 24 April 2020",Le Kef,5,TBA,1
"06:08, 25 April 2020",Zaghouan,3,TBA,0
"06:08, 25 April 2020",Siliana,2,TBA,0
"06:27, 25 April 2020",Nabeul,12,TBA,1
"06:27, 25 April 2020",Kairouan,6,TBA,0
"06:27, 25 April 2020",Kasserine,6,TBA,0
"20:44, 25 April 2020",Manouba,39,TBA,5
"20:44, 25 April 2020",Gafsa,38,TBA,0
"20:44, 25 April 2020",Monastir,37,TBA,0
"21:40, 24 April 2020",Sidi Bouzid,5,TBA,1
"21:40, 24 April 2020",Kasserine,5,TBA,0
"21:40, 24 April 2020",Tozeur,5,TBA,0
"06:08, 25 April 2020",Jendouba,1,TBA,0
"06:27, 25 April 2020",Le Kef,5,TBA,1
"06:27, 25 April 2020",Sidi Bouzid,5,TBA,1
"06:27, 25 April 2020",Tozeur,5,TBA,0
"20:44, 25 April 2020",Sfax,36,TBA,5
